Checked,Name,Formula,Annotation Source: Predicted Compositions,Annotation Source: mzCloud Search,Annotation Source: Metabolika Search,FISh Coverage,Molecular Weight,RT [min],Area (Max.),# mzCloud Results,# Metabolika Pathways,Metabolika Pathways,mzCloud Best Match,mzCloud Best Sim. Match,MS2,Group Area: F3
,TRUE,NP-015484,C23 H32 O8,436.20972,93.1,,Autoprocessed-8129,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,Cytosine,C4 H5 N3 O,Full match,Full match,Full match,,111.04344,1.741,68134515.76,2,1,Other,98.5,,DDA for preferred ion,68134515.76
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Isocytosine,C4 H5 N3 O,111.04326,90.8,,Reference-3278,,,Reference,,,,,,
,TRUE,Cytosine,C4 H5 N3 O,111.04326,98.5,,Reference-365,C00380,Endogenous Metabolites,Reference,,,,,,
TRUE,2-Hydroxycinnamic acid,C9 H8 O3,No match,Invalid mass,No results,,146.03638,8.612,65544463.87,4,0,,65.8,,DDA for preferred ion,65544463.87
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Coumarin,C9 H6 O2,146.03678,65.3,,Reference-356,C05851,Endogenous Metabolites,Reference,,,,,,
,TRUE,Coumarin,C9 H6 O2,146.03678,65.3,,Reference-356,C05851,Endogenous Metabolites,Reference,,,,,,
,TRUE,2-Hydroxycinnamic acid,C9 H8 O3,164.04734,65.8,,Reference-168,C01772,Endogenous Metabolites,Reference,,,,,,
,TRUE,2-Hydroxycinnamic acid,C9 H8 O3,164.04734,65.8,,Reference-168,C01772,Endogenous Metabolites,Reference,,,,,,
TRUE,NP-004713,C15 H24 O2,No match,Invalid mass,No results,,218.16681,13.256,62759935.76,4,0,,86.2,,DDA for preferred ion,62759935.76
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Zerumbone,C15 H22 O,218.16707,66.3,,Reference-5833,,Endogenous Metabolites,Reference,,,,,,
,TRUE,Nootkatone,C15 H22 O,218.16707,78.5,71.2,Reference-842,C17914,Endogenous Metabolites,Reference,,,,,,
,TRUE,NP-004713,C15 H24 O2,236.17763,86.2,,Autoprocessed-6550,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,NP-012616,C15 H24 O2,236.17763,83.7,,Autoprocessed-5649,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,,521.19493,1.773,62282639.08,1,0,,98.2,,DDA for preferred ion,62282639.08
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,D-Raffinose,C18 H32 O16,504.16903,98.6,,Reference-1505,C00492,Endogenous Metabolites,Reference,,,,,,
TRUE,"3a-hydroxy-3-(hydroxymethyl)-1,1,3,5-tetramethyl-octahydro-1H-indene-4-carboxylic acid",C15 H26 O4,No match,Invalid mass,No results,,292.16454,8.218,61518259.37,2,0,,93.7,,DDA for preferred ion,61518259.37
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,"3a-hydroxy-3-(hydroxymethyl)-1,1,3,5-tetramethyl-octahydro-1H-indene-4-carboxylic acid",C15 H26 O4,270.18311,93.7,,Autoprocessed-2980,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,NP-019547,C17 H26 O5,310.17802,71.3,,Autoprocessed-8074,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,"5-hydroxy-6,7-dimethoxy-2-phenyl-4H-chromen-4-one",C17 H14 O5,Full match,Full match,No results,,298.08367,14.26,61232643.82,7,0,,97.2,,DDA for preferred ion,61232643.82
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,"methyl 2-{9-hydroxy-1-methyl-5,10-dioxo-1H,3H,4H,5H,10H-naphtho[2,3-c]pyran-3-yl}acetate",C17 H16 O6,316.09469,82.2,,Autoprocessed-1415,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,N-(1-methyl-3-phenyl-1H-pyrazol-5-yl)-N'-(2-thienyl)urea,C15 H14 N4 O S,298.08883,75.4,,Autoprocessed-7757,,,Autoprocessed,,,,,,
,TRUE,"2,5,6-trimethyl-3-[(3-pyridinylmethylene)amino]thieno[2,3-d]pyrimidin-4(3H)-one",C15 H14 N4 O S,298.08883,63.2,,Autoprocessed-3337,,,Autoprocessed,,,,,,
,TRUE,NP-006105,C15 H16 O5,276.09977,96.2,,Autoprocessed-6558,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,"8-(1,2-dihydroxy-3-methylbut-3-en-1-yl)-7-methoxy-2H-chromen-2-one",C15 H16 O5,276.09977,96.9,,Autoprocessed-2689,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,ethyl 2-[(6-oxo-6H-benzo[c]chromen-3-yl)oxy]acetate,C17 H14 O5,298.08412,97,,Autoprocessed-3770,,,Autoprocessed,,,,,,
,TRUE,"5-hydroxy-6,7-dimethoxy-2-phenyl-4H-chromen-4-one",C17 H14 O5,298.08412,97.2,,Autoprocessed-3137,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,[Similar to: NP-020418; ¶§Mass: -54.0318 Da],C15 H22,Full match,Invalid mass,No results,,202.17203,12.642,61048176.56,2,0,,,78.8,DDA for preferred ion,61048176.56
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,(-)-Caryophyllene oxide,C15 H24 O,220.18272,,66.5,Reference-6554,C16908,Drugs of Abuse/Illegal Drugs; Endogenous Metabolites; Natural Products/Medicines; Excipients/Additives/Colorants,Reference,,,,,,
,TRUE,NP-020418,C15 H28 O3,256.20384,,79.3,Autoprocessed-7850,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,2-Hydroxycinnamic acid,C9 H8 O3,No match,Invalid mass,No results,,146.03638,7.953,60520213.74,2,0,,65.5,,DDA for preferred ion,60520213.74
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Coumarin,C9 H6 O2,146.03678,65.3,,Reference-356,C05851,Endogenous Metabolites,Reference,,,,,,
,TRUE,2-Hydroxycinnamic acid,C9 H8 O3,164.04734,65.8,,Reference-168,C01772,Endogenous Metabolites,Reference,,,,,,
TRUE,"3-(4-hydroxyphenyl)-7-methoxy-5-{[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-4H-chromen-4-one",C22 H22 O10,Not the top hit,Full match,No results,,446.12071,10.651,59938217.08,5,0,,97.6,,DDA for preferred ion,59938217.08
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Rutarin,C20 H24 O10,424.13695,97,,Reference-7423,C09309,,Reference,,,,,,
,TRUE,Glycitin,C22 H22 O10,446.1213,97.6,,Reference-6137,C16195,Endogenous Metabolites,Reference,,,,,,
,TRUE,"3-(4-hydroxyphenyl)-7-methoxy-5-{[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-4H-chromen-4-one",C22 H22 O10,446.1213,97.6,,Autoprocessed-2815,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,"3-(4-hydroxyphenyl)-5-methoxy-7-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-4H-chromen-4-one",C22 H22 O10,446.1213,97.6,,Autoprocessed-2296,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,"(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-[(1R,12R)-5,7,11,19-tetraoxapentacyclo[10.8.0.0??,?a?Å°„.0?Å?,?Å?.0?a?l,?a?Å?]icosa-2(10),3,8,13,15,17-hexaen-16-yloxy]oxane-3,4,5-triol",C22 H22 O10,446.1213,96.6,,Autoprocessed-2685,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,Ethyl 2-[4-(dimethylamino)benzoyl]benzoate,C18 H19 N O3,Full match,Full match,No results,,297.13606,12.19,57101327.53,1,0,,80.6,,DDA for preferred ion,57101327.53
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Ethyl 2-[4-(dimethylamino)benzoyl]benzoate,C18 H19 N O3,297.13649,80.6,,Reference-6114,,,Reference,,,,,,
TRUE,NP-020014,C15 H26 O3,No match,Invalid mass,No match,,236.17737,10.625,56437178.29,1,1,Superpathway of trichothecene biosynthesis,65.3,,DDA for preferred ion,56437178.29
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,NP-020014,C15 H26 O3,254.18819,93.6,,Autoprocessed-7811,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,NP-020014,C15 H26 O3,No match,Invalid mass,No results,,276.16994,11.309,54197575.59,2,0,,93.6,,DDA for preferred ion,54197575.59
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,NP-020014,C15 H26 O3,254.18819,93.6,,Autoprocessed-7811,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,NP-004917,C15 H26 O3,254.18819,93.5,,Autoprocessed-5635,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,NP-013663,C18 H34 O5,No match,Invalid mass,No results,,352.22215,12.681,53537096.88,6,0,,91.5,,DDA for preferred ion,53537096.88
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,6-Ketoprostaglandin F1¶¡,C20 H34 O6,370.23554,90.5,,Reference-4414,C05961,Endogenous Metabolites,Reference,,,,,,
,TRUE,6-Ketoprostaglandin F1¶¡,C20 H34 O6,370.23554,90.5,,Reference-4414,C05961,Endogenous Metabolites,Reference,,,,,,
,TRUE,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",C18 H34 O5,330.24062,91,,Autoprocessed-2278,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",C18 H34 O5,330.24062,91,,Autoprocessed-2278,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,NP-013663,C18 H34 O5,330.24062,91.5,,Autoprocessed-7834,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,NP-013663,C18 H34 O5,330.24062,91.5,,Autoprocessed-7834,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,"2-{[7-hydroxy-1-(4-hydroxy-3,5-dimethoxyphenyl)-3-(hydroxymethyl)-6,8-dimethoxy-1,2,3,4-tetrahydronaphthalen-2-yl]methoxy}-6-(hydroxymethyl)oxane-3,4,5-triol",C28 H38 O13,No match,Invalid mass,No results,,604.21227,9.512,52760687.34,3,0,,80.9,,DDA for preferred ion,52760687.34
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,"2-{[7-hydroxy-1-(4-hydroxy-3,5-dimethoxyphenyl)-3-(hydroxymethyl)-6,8-dimethoxy-1,2,3,4-tetrahydronaphthalen-2-yl]methoxy}-6-(hydroxymethyl)oxane-3,4,5-triol",C28 H38 O13,582.23124,80.9,,Autoprocessed-2777,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,NP-005128,C28 H38 O13,582.23124,80.8,,Autoprocessed-8038,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,NP-005289,C33 H34 N4 O5,566.25292,78.9,,Autoprocessed-6128,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,NP-004713,C15 H24 O2,No match,Invalid mass,No results,,218.16682,12.989,52269785.58,3,0,,79,,DDA for preferred ion,52269785.58
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Nootkatone,C15 H22 O,218.16707,78.5,71.2,Reference-842,C17914,Endogenous Metabolites,Reference,,,,,,
,TRUE,NP-004713,C15 H24 O2,236.17763,86.2,,Autoprocessed-6550,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,NP-012616,C15 H24 O2,236.17763,83.7,,Autoprocessed-5649,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,NP-014175,C20 H28 O3,No match,Invalid mass,No match,,338.18279,14.686,52144368.96,2,1,Superpathway of jasmonoyl-amino acid conjugates biosynthesis,61.5,,DDA for preferred ion,52144368.96
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,NP-014175,C20 H28 O3,316.20384,89.3,,Autoprocessed-5719,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,NP-014175,C20 H28 O3,316.20384,89.3,,Autoprocessed-5719,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,"(3,4,5-trihydroxy-6-{[4-(2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl)butan-2-yl]oxy}oxan-2-yl)methyl 3,4,5-trihydroxybenzoate",C26 H36 O11,No match,Invalid mass,No results,,546.20696,8.219,51009641.81,1,0,,92.5,,DDA for preferred ion,51009641.81
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,"(3,4,5-trihydroxy-6-{[4-(2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl)butan-2-yl]oxy}oxan-2-yl)methyl 3,4,5-trihydroxybenzoate",C26 H36 O11,524.22576,93.8,,Autoprocessed-2771,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,4-Methoxybenzaldehyde,C8 H8 O2,Full match,Full match,Partial match,,136.05203,9.608,49646639.85,1,2,Anaerobic aromatic compound degradation (Thauera aromatica);Other,79.2,,DDA for preferred ion,49646639.85
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,4-Methoxybenzaldehyde,C8 H8 O2,136.05243,79.2,,Reference-6559,C10761,,Reference,,,,,,
TRUE,U-48800,C17 H24 Cl2 N2 O,No match,Invalid mass,No results,,342.12859,6.374,49102269.03,3,0,,85.7,,DDA for preferred ion,49102269.03
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,U-48800,C17 H24 Cl2 N2 O,342.12657,86,,Reference-8418,,Drugs of Abuse/Illegal Drugs; Sports Doping Drugs,Reference,,,,,,
,TRUE,U-51754,C17 H24 Cl2 N2 O,342.12657,85.5,,Reference-8347,,Drugs of Abuse/Illegal Drugs,Reference,,,,,,
,TRUE,Clozapine N-oxide,C18 H19 Cl N4 O,342.12474,81.4,,Reference-1995,,Therapeutics/Prescription Drugs,Reference,,,,,,
TRUE,N-[4-(2-{4-[3-Chloro-5-(trifluoromethyl)pyridin-2-yl]piperazino}-2-oxoethoxy)phenyl]acetamide,C20 H20 Cl F3 N4 O3,No match,Invalid mass,No results,,456.12392,5.967,48621748.68,1,0,,86.8,,DDA for preferred ion,48621748.68
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,N-[4-(2-{4-[3-Chloro-5-(trifluoromethyl)pyridin-2-yl]piperazino}-2-oxoethoxy)phenyl]acetamide,C20 H20 Cl F3 N4 O3,456.1176,86.8,,Reference-6020,,,Reference,,,,,,
TRUE,"9-Oxo-10(E),12(E)-octadecadienoic acid",C18 H30 O3,Full match,Full match,Partial match,,294.21909,14.098,47650304.07,2,1,Superpathway of lipoxygenase,75,,DDA for preferred ion,47650304.07
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,NP-002322,C18 H32 O4,312.23006,91.8,,Autoprocessed-6481,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,"9-Oxo-10(E),12(E)-octadecadienoic acid",C18 H30 O3,294.21949,97.2,,Reference-5838,C14766,Endogenous Metabolites,Reference,,,,,,
TRUE,NP-021018,C12 H18 O4,Full match,Full match,No results,,226.12028,8.457,47457204.87,1,0,,64.3,,DDA for preferred ion,47457204.87
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,NP-021018,C12 H18 O4,226.12051,64.3,,Autoprocessed-6497,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,Progesterone,C21 H30 O2,Full match,Full match,Full match,,314.22408,9.596,45954957.08,1,1,Superpathway of steroid hormone biosynthesis,80.9,,DDA for preferred ion,45954957.08
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Progesterone,C21 H30 O2,314.22458,87.3,,Reference-553,C00410,Endogenous Metabolites; Therapeutics/Prescription Drugs,Reference,,,,,,
TRUE,L-Glutathione (reduced),C10 H17 N3 O6 S,Full match,Full match,Full match,,307.08345,1.829,45857869.28,1,8,Other,98.5,,DDA for preferred ion,45857869.28
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,L-Glutathione (reduced),C10 H17 N3 O6 S,307.08381,98.5,,Reference-472,C00051,Endogenous Metabolites,Reference,,,,,,
TRUE,3-[3-(beta-D-Glucopyranosyloxy)-2-methoxyphenyl]propanoic acid,C16 H22 O9,No match,Invalid mass,No results,,380.10784,7.228,45740795.04,5,0,,96.9,,DDA for preferred ion,45740795.04
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,"methyl 3,5-dimethoxy-4-{[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}benzoate",C16 H22 O9,358.12638,92.2,,Autoprocessed-2922,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,"N-(2-chloro-6-methylphenyl)-N'-(1,2-diphenylethyl)thiourea",C22 H21 Cl N2 S,380.1114,83.6,,Autoprocessed-1605,,,Autoprocessed,,,,,,
,TRUE,(4-nitrophenyl){4-[3-(trifluoromethyl)pyridin-2-yl]piperazino}methanone,C17 H15 F3 N4 O3,380.10962,96.5,,Autoprocessed-3676,,,Autoprocessed,,,,,,
,TRUE,"3-({[5-(benzylthio)-4-methyl-4H-1,2,4-triazol-3-yl]methyl}thio)-2-methyl-1H-indole",C20 H20 N4 S2,380.11294,96.6,,Autoprocessed-2352,,,Autoprocessed,,,,,,
,TRUE,3-[3-(beta-D-Glucopyranosyloxy)-2-methoxyphenyl]propanoic acid,C16 H22 O9,358.12638,96.9,,Autoprocessed-7366,,,Autoprocessed,,,,,,
TRUE,NP-005340,C35 H54 O14,No match,Invalid mass,No results,,720.33208,9.613,44993476.36,3,0,,93.3,,DDA for preferred ion,44993476.36
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,NP-005340,C35 H54 O14,698.35136,93.3,,Autoprocessed-5702,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,NP-012610,C35 H54 O14,698.35136,93.1,,Autoprocessed-6514,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,NP-012218,C35 H54 O14,698.35136,92.9,,Autoprocessed-7876,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,"(2R,3S,4S,5R,6R)-5-{[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy}-2-(hydroxymethyl)-6-(2-phenylethoxy)oxane-3,4-diol",C19 H28 O10,No match,Invalid mass,No results,,438.14977,8.256,44692962.52,8,0,,86.4,,DDA for preferred ion,44692962.52
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,APP-FUBINACA,C24 H21 F N4 O2,416.16485,92.9,,Reference-5809,,Drugs of Abuse/Illegal Drugs; Sports Doping Drugs,Reference,,,,,,
,TRUE,"4-(¶¬-D-Glucopyranosyloxy)benzyl 4,5-dideoxy-3-C-methylpentonate",C19 H28 O10,416.16825,92.8,,Reference-7980,,,Reference,,,,,,
,TRUE,"{5-Chloro-3-[(1E,3E)-3,5-dimethylhepta-1,3-dienyl]-8a-hydroxy-1-methoxy-7-methyl-6,8-dioxo-1H-isochromen-7-yl} acetate",C22 H27 Cl O7,438.14453,76.3,,Reference-7681,,,Reference,,,,,,
,TRUE,"(2R,3R,4R,5R,6S)-2-{[(2R,3S,4S,5R,6R)-6-(benzyloxy)-3,4,5-trihydroxyoxan-2-yl]methoxy}-6-methyloxane-3,4,5-triol",C19 H28 O10,416.16825,92,,Autoprocessed-3104,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,"(2R,3S,4S,5R,6R)-5-{[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy}-2-(hydroxymethyl)-6-(2-phenylethoxy)oxane-3,4-diol",C19 H28 O10,416.16825,93.3,,Autoprocessed-2743,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,"(2S,3R,4S,5R)-2-{[(2R,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-2-(2-phenylethoxy)oxan-3-yl]oxy}oxane-3,4,5-triol",C19 H28 O10,416.16825,93.5,,Autoprocessed-1285,,,Autoprocessed,,,,,,
,TRUE,"2-(2-phenylethoxy)-6-{[(3,4,5-trihydroxyoxan-2-yl)oxy]methyl}oxane-3,4,5-triol",C19 H28 O10,416.16825,93.1,,Autoprocessed-2762,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,"(2R,3S,4S,5R,6R)-2-({[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy}methyl)-6-(2-phenylethoxy)oxane-3,4,5-triol",C19 H28 O10,416.16825,93.6,,Autoprocessed-2879,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,NP-011150,C22 H24 O8,No match,Invalid mass,No results,,438.13436,1.631,43670213.19,2,0,,89.3,,DDA for preferred ion,43670213.19
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,NP-011150,C22 H24 O8,416.14712,89.3,,Autoprocessed-6144,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
,TRUE,Azilsartan,C25 H20 N4 O5,456.14337,88.5,,Autoprocessed-1882,,,Autoprocessed,,,,,,
TRUE,Nootkatone,C15 H22 O,Full match,Full match,No results,,218.16681,14.468,43460400.36,3,0,,75.6,,DDA for preferred ion,43460400.36
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Zerumbone,C15 H22 O,218.16707,66.3,,Reference-5833,,Endogenous Metabolites,Reference,,,,,,
,TRUE,Nootkatone,C15 H22 O,218.16707,78.5,71.2,Reference-842,C17914,Endogenous Metabolites,Reference,,,,,,
,TRUE,NP-004713,C15 H24 O2,236.17763,86.2,,Autoprocessed-6550,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,NP-021116,C17 H26 O9,No match,Invalid mass,No results,,396.13918,7.657,42647098.81,5,0,,96.8,,DDA for preferred ion,42647098.81
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,"N-{5,6-Dihydroxy-3-[(2-oxo-3-piperidinyl)carbamoyl]-2-cyclohexen-1-yl}nicotinamide",C18 H22 N4 O5,374.15902,96.4,,Reference-8913,,,Reference,,,,,,
,TRUE,"N-[2-[3,4-Dihydro-2(1H)-isoquinolinyl]-5-(trifluoromethyl)phenyl]benzamide",C23 H19 F3 N2 O,396.14495,95,,Reference-3773,,,Reference,,,,,,
,TRUE,"5-Chloro-3-[(1E,3E)-3,5-dimethylhepta-1,3-dienyl]-7,8a-dihydroxy-1-methoxy-7-methyl-1H-isochromene-6,8-dione",C20 H25 Cl O6,396.13397,94.4,,Reference-7683,,,Reference,,,,,,
,TRUE,"2-{[1-(4-hydroxyphenyl)-1H-1,2,3,4-tetraazol-5-yl]sulfanyl}-1-(4-phenylpiperazino)-1-ethanone",C19 H20 N6 O2 S,396.13684,84.9,,Autoprocessed-6302,,,Autoprocessed,,,,,,
,TRUE,NP-021116,C17 H26 O9,374.15768,96.8,,Autoprocessed-5752,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,Diisobutylphthalate,C16 H22 O4,Full match,Full match,Partial match,,278.15151,14.933,42138998.07,5,1,Other,99,,DDA for preferred ion,42138998.07
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Diisobutylphthalate,C16 H22 O4,278.15181,99,,Reference-2033,C15205,Industrial Chemicals; Extractables/Leachables; Textile Chemicals/Auxiliary/Dyes,Reference,,,,,,
,TRUE,Dibutyl phthalate,C16 H22 O4,278.15181,98.5,,Reference-32,,Extractables/Leachables; Industrial Chemicals,Reference,,,,,,
,TRUE,Mono(2-ethylhexyl) phthalate (MEHP),C16 H22 O4,278.15181,97.3,,Reference-2914,C03343,Extractables/Leachables; Endogenous Metabolites,Reference,,,,,,
,TRUE,Dibutyl phthalate,C16 H22 O4,278.15181,97.1,,Autoprocessed-3838,,Personal Care Products/Cosmetics; Textile Chemicals/Auxiliary/Dyes; Industrial Chemicals,Autoprocessed,,,,,,
,TRUE,Octyl hydrogen phthalate,C16 H22 O4,278.15181,95.5,,Autoprocessed-3020,,Endogenous Metabolites; Extractables/Leachables,Autoprocessed,,,,,,
